"Stall number","Owner","Stall name","Placering ","Koordinater","Price level","Kategori til hjulet","Cuisine type ","Stall description","Festival history"
"92-29F","KFUM's Boldklub Roskilde","KFUM Shop Non Stop","The Lakes (badesøen)","55.6131267      12.0827419","Low","Meat, Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Football Club 'KFUM’s Boldklub' is again to be found at Roskilde Festival with their ""Shop Non Stop"" kiosks. Available 24/7 in all camping areas, they offer freshly baked bread in the morning, hot dishes, sweets, crisps, chocolate, coffee, water, juice, all the necessary things for personal hygiegne, and much more","The profit that are generated at Roskilde Festival each year helps improving the conditions for all the 500 members of the club. History: The club paticipated at Roskilde Festival for the first time in 1971 as a part of the support from the associations in Roskilde Festival. That was to ensure that guests could get food and drinks. Since then, it has been a recurring event for the association - an event that in addition to helping financially, also contributes to the social climate in the club, as most of the adult members are contributing as volunteers."
"92-29E ","KFUM's Boldklub Roskilde","KFUM Shop Non Stop","The Lakes (Fiskesøen)","55.6117744      12.0807895","Low","Meat, Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Football Club 'KFUM’s Boldklub' is again to be found at Roskilde Festival with their ""Shop Non Stop"" kiosks. Available 24/7 in all camping areas, they offer freshly baked bread in the morning, hot dishes, sweets, crisps, chocolate, coffee, water, juice, all the necessary things for personal hygiegne, and much more","The profit that are generated at Roskilde Festival each year helps improving the conditions for all the 500 members of the club. History: The club paticipated at Roskilde Festival for the first time in 1971 as a part of the support from the associations in Roskilde Festival. That was to ensure that guests could get food and drinks. Since then, it has been a recurring event for the association - an event that in addition to helping financially, also contributes to the social climate in the club, as most of the adult members are contributing as volunteers."
"06-09.","Lystfiskerhjørnet","Lystfiskerhjørnet","The Lakes (Fiskesøen)","55.6117365      12.0809066","Low","Meat, Poultry, Fruit & Veggies","Fast food",,
"06-04A ","Flaming Cactus","Flaming Cactus","Trade Area","55.6205144      12.0753960","Middle","Meat, Fruits & Veggies","Mexican",,
"10-15. ","Slagteriskolen","Handmade grill sausages","Trade Area","55.6206398      12.0753247","Middle","Meat, Fruits & Veggies ","Sausages","At Handmade Sausage Grill, run by Roskilde Butchery School you can get hand made quality sausages with high meat content. They are large - 180 grams. Come and taste quality sausages","The Butchery School helped to start the Roskilde Festival and made all the food the first four years. Last year, we participated again with the quality sausage stall. If we get to earn money on stall - the money helps to organize food culture study travels for employees."
"11-05.","Hans Just A/S","Jägermeister Baren","Trade Area","55.6206697      12.0745179","Middle","Sweets & Drinks","Bar",,
"07-05.","Piben","Piben","Trade Area","55.6208098      12.0751806","Low","Meat, Fruits & Veggies ","Middle East",,
"92-31. ","Roskilde Lille Skole","RLS Boden","Trade Area","55.6210037      12.0748850","Middle","Meat, Fruit & Veggies ","Burger","We sell the festival's hottest Luxury burgers at 200 grams minced fresh beef - especially designed for our good - with our own spicy sauce and fresh salad. To this can be bought spicy chili fries, or you can choose a Veggieburger with potato rösti if you do not eat meat. We also sell beverages such as beer, wine, cola and juices - and as something new this year, we present a real barista bar, where we sell organic coffee specialties like cappuccino, espresso, cafe latte etc. from a local coffee import company.","Behind the stall is Roskilde Lille Skole, or more precisely ""Association of parents at Roskilde Little School"", who has driven the stall at the Roskilde Festival in more than 25 years! First as ""Ox Boden"" and since 2008 as RLS stall. We have been involved in all these years - sometimes with multiple stalls - starting with a handful of parents from the school, now running a restaurant with 200 workers. Who are we? Yes, we are a voluntary and unpaid organization whose purpose is to provide an uncut contribution for one specific non-profit and charitable purposes; to provide free places at Roskilde Little School. Besides this work, the volunteers have always been united by a strong social commitment and solidarity, and an interest in the festival. Meanwhile, many of the students (and employees' children) got into the festival with their 'school milk' (and a staff-child bracelet) and we can almost say that the interest in music and the Roskilde Festival are passed on in the stall and at the Roskilde Lille School."
"05-04.","The Ranch","The Ranch","Trade Area","55.6204371      12.0753926","Low","Meat, Poultry, Fruits & Veggies","Fast food","Hungry and thirsty after a long day at 'Roskilde Prairie' but tired of long queues and high prices? Then come to The Ranch and get solid, hearty, hot and cold dishes from our farm kitchen. Try Chicken Hotwings with Farmer Fries or fresh sandwiches. P.S. Look for the chickens...","The Ranch is run by three artists by grace of God, who initially had a stall on an ethno-music festival. Since then we have taken the stall to Roskilde Festival - to earn a little for our studies, be on the festival and give you all a good dining experience"
"92-41","Tune IF","Tokyo","Trade Area","55.6203635      12.0753894","Middle","Seafood, Fruits & Veggies","Japanese","Our name ""Tokyo"" reflects our menu consisting of food from the Japanese kitchen. We sell sushi, curry rice dish with and without meat, asian slaw with marinated meat, fresh fruits and elderflower juice and blackcurrant juice.","We have been with the festival since 1990 and the stall has quietly been expanding. We come from Tune Handball and proceeds go to the club. We've mostly got a really nice profit, which has made it possible to send our youth to training camps, we have invested in new balls, resin, clothes etc. for club members. In short, it helps making it better to be playing in the club. We are about 45 workers in the stall, and it is almost never a problem finding people to give a helping hand"
